date,adgroup,criteria,clicks,impressions,cost,campaign
2023-06-04,EVO_Conv_TPB DOP_Ecommerce,Image_0204,1,402,3164,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Ecommerce,Video_0103,2,810,29749,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Insurance,Image_0103,12,1331,36991,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Insurance,Image_0104,1,112,3308,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Insurance,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Insurance,Video_0103,17,838,31257,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Investment,Image_0103,7,606,16270,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Investment,Image_0104,2,245,8998,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Investment,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Investment,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0103,22,870,35767,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0104,21,736,25253,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_LALCardActive_Esign,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Mortgage,Image_0103,20,1611,48047,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Mortgage,Image_0104,33,1909,62570,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Mortgage,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-04,EVO_Conv_TPB DOP_Mortgage,Video_0103,0,133,4477,EVO_Conv_TPB DOP_Esign
2023-06-05,Conv_Esign_Mas,Image_0103,630,37486,1614510,Conv_Esign
2023-06-05,Conv_Esign_Mas,Image_0104,882,59941,2203126,Conv_Esign
2023-06-05,Conv_Esign_Mas,Image_0204,11,2366,22148,Conv_Esign
2023-06-05,Conv_Esign_Mas,Video_0103,14,922,44699,Conv_Esign
2023-06-05,Conv_Esign_Retargeting,Image_0103,11,271,23995,Conv_Esign
2023-06-05,Conv_Esign_Retargeting,Image_0104,66,1212,86455,Conv_Esign
2023-06-05,Conv_Esign_Retargeting,Video_0103,0,4,441,Conv_Esign
2023-06-05,EVO_Conv_TPB DOP_Bank,Image_0103,61,3378,166407,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Bank,Image_0104,98,5966,245579,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Bank,Image_0204,4,1027,7002,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Bank,Video_0103,14,431,16090,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0103,3,227,5541,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0104,0,292,4605,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0204,1,101,548,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_CreditCard_Esign,Video_0103,1,50,1475,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Ecommerce,Image_0103,155,7508,334617,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Ecommerce,Image_0104,139,7769,340552,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Ecommerce,Image_0204,4,568,5088,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Ecommerce,Video_0103,10,379,21033,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Insurance,Image_0103,6,696,17612,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Insurance,Image_0104,0,135,3960,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Insurance,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Insurance,Video_0103,13,785,32718,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Investment,Image_0103,7,504,14557,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Investment,Image_0104,5,264,10790,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Investment,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Investment,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
